sub.id,sub.no,cond,experiment.duration,user.agent,PA.id,verification,time,ip
78,129,Positive,353566,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A3D9L5CQXK1YJL,90e2scm9ueq,19:23:43 Tue 01 Sep 15,72.23.176.243
79,75,Positive,671033,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A39YBLQYIUBR76,t8iv1dx463fecdi,19:23:43 Tue 01 Sep 15,12.150.181.20
80,55,Uniform,701849,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1V8MSGK7CVD8B,5pxmk3mjn8060f6r,19:23:54 Tue 01 Sep 15,71.104.53.58
81,42,Positive,744737,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A16TESTJICU76L,j16dfgju4jux47vi,19:24:22 Tue 01 Sep 15,108.193.223.1
82,92,Both,671524,"Mozilla/5.0 (X11 Ubuntu Linux x86_64 rv:39.0) Gecko/20100101 Firefox/39.0",A2NAKIXS3DVGAA,y9ki0ui61si,19:24:24 Tue 01 Sep 15,69.204.147.176
83,143,Both,242070,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",AT3C00TKZK13L,dlf5c9a7c459izfr,19:24:34 Tue 01 Sep 15,201.157.70.142
84,104,Both,660895,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",ACVEFRSUAPSEQ,fhe76ih4ks,19:24:40 Tue 01 Sep 15,72.23.176.243
85,38,Both,771395,"Mozilla/5.0 (Windows NT 10.0 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A2OXXHGAM7B0Y,gwlinugyg9442t9,19:24:42 Tue 01 Sep 15,45.47.106.124
86,52,Uniform,766737,"Mozilla/5.0 (X11 Linux x86_64 rv:40.0) Gecko/20100101 Firefox/40.0",AK8ONB60Q4RJ5,4s2x586bjs5,19:24:53 Tue 01 Sep 15,47.20.125.119
87,96,Positive,692653,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A1F8MOWCCVDIH2,5ucrq0gqne8,19:24:53 Tue 01 Sep 15,166.181.83.189
